2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09187  TP=1.09351  SL=1.09089 | Lot=1.48  Margin=$323.16
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24169  TP=1.24356  SL=1.24058 | Lot=1.26  Margin=$312.88
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09025  TP=1.09188  SL=1.08927 | Lot=1.44  Margin=$313.96
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.35061  TP=1.34859  SL=1.35183 | Lot=1.16  Margin=$313.37
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.23842  TP=1.24028  SL=1.23731 | Lot=1.27  Margin=$314.53
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.08601  TP=1.08764  SL=1.08503 | Lot=1.44  Margin=$312.74
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.34625  TP=1.34423  SL=1.34746 | Lot=1.2  Margin=$323.13
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24276  TP=1.24463  SL=1.24165 | Lot=1.3  Margin=$323.09
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09106  TP=1.09270  SL=1.09008 | Lot=1.48  Margin=$322.92
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.34389  TP=1.34187  SL=1.34510 | Lot=1.24  Margin=$333.32
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09925  TP=1.10090  SL=1.09826 | Lot=1.52  Margin=$334.14
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24851  TP=1.25039  SL=1.24739 | Lot=1.34  Margin=$334.57
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.25254  TP=1.25441  SL=1.25141 | Lot=1.38  Margin=$345.67
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=133.75837  TP=133.95899  SL=133.63800 | Lot=0.01  Margin=$267.49
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09921  TP=1.10086  SL=1.09822 | Lot=1.59  Margin=$349.51
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.24142  TP=1.24329  SL=1.24031 | Lot=1.41  Margin=$350.05
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.43944  TP=134.64108  SL=134.31846 | Lot=0.01  Margin=$268.85
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33912  TP=1.33711  SL=1.34032 | Lot=1.31  Margin=$350.88
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09264  TP=1.09428  SL=1.09166 | Lot=1.61  Margin=$351.79
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.08741  TP=134.28852  SL=133.96674 | Lot=0.01  Margin=$268.15
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33896  TP=1.33695  SL=1.34016 | Lot=1.35  Margin=$361.55
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.67260  TP=0.67159  SL=0.67321 | Lot=2.69  Margin=$361.90
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.09716  TP=1.09881  SL=1.09617 | Lot=1.65  Margin=$362.03
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.61446  TP=134.81636  SL=134.49332 | Lot=0.01  Margin=$269.20
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.23342  TP=134.43475  SL=134.11262 | Lot=0.01  Margin=$268.44
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.34737  TP=1.34534  SL=1.34858 | Lot=1.35  Margin=$363.82
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.10941  TP=134.31055  SL=133.98872 | Lot=0.01  Margin=$268.19
2026-03-20 16:58:55 | INFO     | backtest.engine |   Bar   60 | 2023-04-21 | Equity=$17,763.95 | Open=1
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.19942  TP=134.40070  SL=134.07865 | Lot=0.01  Margin=$268.37
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] BUY  | Entry=1.10452  TP=1.10618  SL=1.10353 | Lot=1.65  Margin=$364.46
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=133.74337  TP=133.94397  SL=133.62302 | Lot=0.01  Margin=$267.46
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66260  TP=0.66161  SL=0.66320 | Lot=2.8  Margin=$371.10
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=133.63736  TP=133.83780  SL=133.51710 | Lot=0.01  Margin=$267.25
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.24658  TP=1.24471  SL=1.24770 | Lot=1.49  Margin=$371.52
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66033  TP=0.65934  SL=0.66093 | Lot=2.81  Margin=$371.14
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=133.90339  TP=134.10422  SL=133.78289 | Lot=0.01  Margin=$267.78
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66262  TP=0.66163  SL=0.66322 | Lot=2.82  Margin=$373.76
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] SELL | Entry=1.24920  TP=1.24732  SL=1.25032 | Lot=1.5  Margin=$374.80
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [EURUSD] SELL | Entry=1.10239  TP=1.10074  SL=1.10338 | Lot=1.69  Margin=$372.64
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66105  TP=0.66006  SL=0.66165 | Lot=2.94  Margin=$388.74
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66259  TP=0.66160  SL=0.66319 | Lot=2.9  Margin=$384.34
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=136.53665  TP=136.74144  SL=136.41378 | Lot=0.01  Margin=$273.05
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66612  TP=0.66512  SL=0.66672 | Lot=2.84  Margin=$378.40
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.36070  TP=1.36274  SL=1.35947 | Lot=1.39  Margin=$378.24
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] SELL | Entry=0.66699  TP=0.66599  SL=0.66759 | Lot=2.84  Margin=$378.89
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.24642  TP=134.44777  SL=134.12561 | Lot=0.01  Margin=$268.47
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] BUY  | Entry=1.35384  TP=1.35587  SL=1.35262 | Lot=1.43  Margin=$387.16
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.25727  TP=1.25915  SL=1.25613 | Lot=1.54  Margin=$387.20
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=134.83248  TP=135.03471  SL=134.71114 | Lot=0.01  Margin=$269.64
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.26312  TP=1.26501  SL=1.26198 | Lot=1.54  Margin=$389.00
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33697  TP=1.33496  SL=1.33817 | Lot=1.46  Margin=$390.43
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=135.06751  TP=135.27009  SL=134.94596 | Lot=0.01  Margin=$270.11
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33667  TP=1.33466  SL=1.33787 | Lot=1.5  Margin=$401.04
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.26193  TP=1.26382  SL=1.26079 | Lot=1.59  Margin=$401.25
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33824  TP=1.33623  SL=1.33944 | Lot=1.51  Margin=$404.19
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] BUY  | Entry=135.21852  TP=135.42133  SL=135.09684 | Lot=0.01  Margin=$270.41
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.26180  TP=1.26369  SL=1.26066 | Lot=1.6  Margin=$403.73
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.33662  TP=1.33461  SL=1.33782 | Lot=1.55  Margin=$414.39
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [GBPUSD] BUY  | Entry=1.26227  TP=1.26416  SL=1.26113 | Lot=1.65  Margin=$416.51
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDCAD] SELL | Entry=1.34866  TP=1.34663  SL=1.34987 | Lot=1.5  Margin=$404.64
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [USDJPY] SELL | Entry=135.73143  TP=135.52781  SL=135.85360 | Lot=0.01  Margin=$271.49
2026-03-20 16:58:55 | DEBUG    | backtest.engine |   OPEN  [AUDUSD] BUY  | Entry=0.66398  TP=0.66497  SL=0.66338 | Lot=3.01  Margin=$399.67
